Health Facility,Station,Year,Week,Pred_Cases,confidence_rate,confidence_pct,alert_threshold,action_threshold
ALWAYS FTC,ALWAYS FTC,2025,42,2,0.7041949987411499,70.4,2.909090909090909,2.909090909090909
ALWAYS FTC,ALWAYS FTC,2025,43,2,0.5514484167098999,55.1,3.0,3.0
ALWAYS FTC,ALWAYS FTC,2025,44,2,0.551189911365509,55.1,3.0,3.0
ALWAYS FTC,ALWAYS FTC,2025,45,2,0.8090562105178833,80.9,1.0909090909090908,1.0909090909090908
ALWAYS FTC,ALWAYS FTC,2025,46,2,0.3533029973506927,35.3,1.4545454545454546,1.4545454545454546
ALWAYS FTC,ALWAYS FTC,2025,47,2,0.49613762497901914,49.6,1.1818181818181819,1.1818181818181819
ALWAYS FTC,ALWAYS FTC,2025,48,2,0.4815735399723053,48.2,1.2727272727272727,1.2727272727272727
ALWAYS FTC,ALWAYS FTC,2025,49,3,0.5252388417720795,52.5,0.7272727272727273,0.7272727272727273
ALWAYS FTC,ALWAYS FTC,2025,50,3,0.5221052837371826,52.2,2.5454545454545454,2.5454545454545454
ALWAYS FTC,ALWAYS FTC,2025,51,3,0.5752211272716522,57.5,1.5454545454545454,1.5454545454545454
ALWAYS FTC,ALWAYS FTC,2025,52,5,0.6509129047393798,65.1,2.272727272727273,2.272727272727273
CHIDIKAMWEDZI FTC,CHIDIKAMWEDZI FTC,2025,1,1,0.6107000448487021,61.1,1.5,1.5
CHIDIKAMWEDZI FTC,CHIDIKAMWEDZI FTC,2025,2,1,0.6074148186228492,60.7,1.0,1.0
CHIDIKAMWEDZI FTC,CHIDIKAMWEDZI FTC,2025,3,1,0.6244009696624495,62.4,1.3,1.3
CHIDIKAMWEDZI FTC,CHIDIKAMWEDZI FTC,2025,4,1,0.6102402337572791,61.0,1.2,1.2
CHIDIKAMWEDZI FTC,CHIDIKAMWEDZI FTC,2025,5,4,0.5066521763801575,50.7,1.6363636363636365,1.6363636363636365
CHIDIKAMWEDZI FTC,CHIDIKAMWEDZI FTC,2025,6,4,0.4625142753124237,46.3,1.1818181818181819,1.1818181818181819
CHIDIKAMWEDZI FTC,CHIDIKAMWEDZI FTC,2025,7,4,0.41858232021331787,41.9,1.0909090909090908,1.0909090909090908
CHIDIKAMWEDZI FTC,CHIDIKAMWEDZI FTC,2025,8,4,0.455694442987442,45.6,0.5454545454545454,0.5454545454545454
CHIDIKAMWEDZI FTC,CHIDIKAMWEDZI FTC,2025,9,4,0.4147538363933563,41.5,0.2727272727272727,0.2727272727272727
CHIDIKAMWEDZI FTC,CHIDIKAMWEDZI FTC,2025,10,5,0.5935861587524414,59.4,1.4545454545454546,1.4545454545454546
